video_name,start_time,end_time,sentiment,text,ground_truth,llm_best_label,neutral,happy,sad,anger,surprise,disgust,fear,sum_of_emotions,response_clean
32_happiness_enthusiasm_h_120,-1,-1,-1,"Конечно, расскажу, обязательно. Ой, сейчас расскажу.",happy,happy,0.11814,0.64973,0.08388,0.03307,0.04371,0.01181,0.05966,1.0,"<think>

</think>

0.12345, 0.67890, 0.08765, 0.03456, 0.04567, 0.01234, 0.06234"
36_disgust_happiness_d_130,-1,-1,-1,Вы ещё и профессию решили поменять.,disgust,disgust,0.12347,0.08766,0.15434,0.09877,0.10236,0.43217,0.00123,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.10234, 0.43210, 0.00123"
34_anger_fear_a_060,-1,-1,-1,"Ты знаешь, чем это для тебя закончится?",anger,anger,0.11757,0.08348,0.14697,0.60002,0.02339,0.02857,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63000, 0.02456, 0.03000, 0.00000"
25_anger_disgust_a_010,-1,-1,-1,Добрый день. Вы хотели бы приобрести недвижимость? Я с удовольствием вам помогу.,anger,anger,0.12336,0.15666,0.09869,0.62129,-1e-05,1e-05,-0.0,1.0,"<think>

</think>

0.12345, 0.15678, 0.09876, 0.62175, 0.00000, 0.00000, 0.00000"
17_neutral_disgust_d_092,-1,-1,-1,"все ваши рекламные акции, пожалуйста, больше не парьте мне мозги и слезьте с моих ушей, хорошо?",disgust,disgust,3e-05,-2e-05,2e-05,0.33332,1e-05,0.66664,-0.0,1.0,"<think>

</think>

0.00000, 0.00000, 0.00000, 0.33333, 0.00000, 0.66667, 0.00000"
27_neutral_fear_f_100,-1,-1,-1,"Но я же люблю свою работу, я же справляюсь со своими обязанностями. Вы можете её любить дальше. Только не здесь, вы хотите сказать.",fear,fear,0.11388,0.13437,0.1969,0.08085,0.15897,0.0911,0.22393,1.0,"<think>

</think>

0.12345, 0.14567, 0.21345, 0.08765, 0.17234, 0.09876, 0.24275"
48_fear_disgust_d_080,-1,-1,-1,Только дети могут такого бояться.,disgust,disgust,0.12247,0.08696,0.1531,0.09798,0.10153,0.42868,0.00928,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.10234, 0.43210, 0.00935"
32_happiness_enthusiasm_e_060,-1,-1,-1,"Ну хорошо, если, например, друзьям, то что, может быть, лотерейные билеты, и может им тоже повезёт?",surprise,surprise,0.11206,0.12968,0.08965,0.06948,0.50836,0.0112,0.07957,1.0,"<think>

</think>

0.12345, 0.14286, 0.09876, 0.07654, 0.56000, 0.01234, 0.08765"
27_neutral_fear_n_030,-1,-1,-1,"Анна Сергеевна, но мне неудобно вам говорить, вы всё-таки дама, но вы у нас давно и долго работаете.",neutral,neutral,0.78262,0.08695,0.05217,0.01739,0.02609,0.03478,0.0,1.0,"<think>

</think>

0.75000, 0.08333, 0.05000, 0.01667, 0.02500, 0.03333, 0.00000"
33_sadness_disgust_s_080,-1,-1,-1,"Уже одно то, что ты пришла — это уже праздник.",sad,sad,0.12344,0.15677,0.71981,-2e-05,1e-05,-0.0,-1e-05,1.0,"<think>

</think>

0.12345, 0.15678, 0.71987, 0.00000, 0.00000, 0.00000, 0.00000"
27_neutral_fear_n_080,-1,-1,-1,А помимо работы вы чем-нибудь увлекаетесь? У вас может быть есть дача? У вас может быть есть любимые внуки? Может быть вы в хоре поете?,neutral,neutral,0.85001,0.08,0.02,0.01001,0.01999,0.00999,0.01,1.0,"<think>

</think>

0.85000, 0.08000, 0.02000, 0.01000, 0.02000, 0.01000, 0.01000"
32_happiness_enthusiasm_e_050,-1,-1,-1,"Так, ну и что ж ты купишь? Платье или сумочку? Может быть, кошелек для этого?",surprise,surprise,0.11974,0.08502,0.0958,0.07424,0.60473,0.01197,0.0085,1.0,"<think>

</think>

0.12345, 0.08765, 0.09876, 0.07654, 0.62345, 0.01234, 0.00876"
40_enthusiasm_fear_f_070,-1,-1,-1,"Учитывается продолжительный бег, на который я просто не способна. Нужно бежать без передышки 5 километров.",fear,fear,0.11113,0.0789,0.13891,0.06111,0.09212,0.07102,0.44681,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.06789, 0.10234, 0.07890, 0.49635"
26_enthusiasm_happiness_h_080,-1,-1,-1,Где там тепло?,happy,happy,0.12488,0.68675,0.07742,0.01248,0.06867,0.02159,0.00821,1.0,"<think>

</think>

0.12345, 0.67890, 0.07654, 0.01234, 0.06789, 0.02134, 0.00812"
17_neutral_disgust_n_050,-1,-1,-1,"Отлично, Алла. Вот уже пять лет вы являетесь клиентом нашей компании.",neutral,neutral,0.75758,0.15151,0.0505,0.02525,0.01515,0.0,1e-05,1.0,"<think>

</think>

0.75000,0.15000,0.05000,0.02500,0.01500,0.00000,0.00000"
03_disgust_neutral n_050,-1,-1,-1,финансирования недостаточно вы знаете как сейчас плохо с образованием,neutral,neutral,0.85861,0.0202,0.08081,0.01011,0.01009,0.01008,0.0101,1.0,"<think>

</think>

0.85000, 0.02000, 0.08000, 0.01000, 0.01000, 0.01000, 0.01000"
47_enthusiasm_sadness_e_100,-1,-1,-1,"Давайте пройдем, конечно. Вот посмотрите, вот он перед вами висит, всю стену полностью занимает.",surprise,surprise,0.12345,0.08765,0.09876,0.07654,0.60003,0.01234,0.00123,1.0,"<think>

</think>

0.12345, 0.08765, 0.09876, 0.07654, 0.60000, 0.01234, 0.00123"
